alamat,luas_tanah,kecamatan,NJOP_Rp_per_m2,Sertifikat,Sewa_per_Bulan,Aksesbilitas,luas_tanah_m2,Jenis_zona,Aksesibilitas,Tingkat_Keamanan,Kepadatan_Penduduk
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 1000 m²,Sukomanunggal,5625000,HGB,28125000,Baik,1000.0,Industri,Baik,rendah,101259
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",,Sukomanunggal,5625000,Lainnya,15159375,Buruk,539.0,Industri,Baik,rendah,101259
"Jl. Petemon No. 77, Sawahan, Surabaya",,Sawahan,1416000,SHM,20029320,Baik,2829.0,Perumahan,Baik,tinggi,188693
"Jl. Krembangan No. 8, Surabaya",,Krembangan,3500000,HGB,3027500,Baik,173.0,Industri,Buruk,rendah,109027
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 1429 m²,Tambaksari,2352000,HGB,16805040,Baik,1429.0,Perumahan,Baik,rendah,214966
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",,Wiyung,1416000,SHM,58615320,Baik,8279.0,Komersial,Baik,tinggi,71605
"Jl. Petemon No. 77, Sawahan, Surabaya",,Sawahan,1416000,SHM,41694120,Baik,5889.0,Perumahan,Buruk,rendah,188693
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",lt 283m2,Tambaksari,2352000,SHM,3328080,Buruk,283.0,Perumahan,Baik,rendah,214966
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",,Wonokromo,5625000,Lainnya,19265625,Buruk,685.0,Komersial,Baik,rendah,144650
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 1125 m²,Kenjeran,1862000,SHM,10473750,Baik,1125.0,Perumahan,Baik,rendah,181325
"Jl. Asemrowo No. 1, Surabaya",,Asemrowo,2500000,HGB,79625000,Baik,6370.0,Industri,Baik,tinggi,45547
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 417 m²,Lakarsantri,1032000,SHM,2151720,Buruk,417.0,Komersial,Baik,tinggi,59256
"Jl. Pakal No. 10, Surabaya",,Pakal,1200000,SHM,24906000,Baik,4151.0,Industri,Baik,rendah,59971
