iter	RMSE
0	94381339.06
1	89049941.6
2	83721549.62
3	78742479.94
4	74244129.03
5	69993789.57
6	67770009.48
7	63762188.9
8	60652203.28
9	57807517.82
10	54739763.46
11	52448950.52
12	49705011.01
13	47085715.4
14	44631589.27
15	42540459.57
16	40167183.89
17	38322831.13
18	36402703.86
19	35030074.58
20	33508345.54
21	31807487.84
22	30732601.8
23	29626345.88
24	28698209.74
25	27653621.15
26	26370241.45
27	25131236.4
28	24282875.7
29	23241833.81
30	22423980.52
31	21978457.13
32	21004397.46
33	20466575.09
34	19729237.35
35	18863089.76
36	18176887.41
37	17594135.07
38	16995988.18
39	16229156.85
40	15671773.71
41	15296753.26
42	14693466.21
43	14160268.36
44	13777788.25
45	13443402.16
46	12989696.17
47	12688561.42
48	12242482.49
49	11688545.64
50	11302093.41
51	10732943.71
52	10361432.79
53	10021209.77
54	9674434.076
55	9321496.475
56	9079062.993
57	8748041.037
58	8387531.479
59	8168157.507
60	7902746.78
61	7730205.707
62	7563695.196
63	7414551.319
64	7259126.824
65	7108738.257
66	6956200.148
67	6823417.152
68	6689331.603
69	6555778.375
70	6436717.601
71	6319617.451
72	6186863.7
73	6068180.981
74	5928486.486
75	5820075.214
76	5706294.785
77	5608921.099
78	5517385.525
79	5394922.274
80	5307499.498
81	5221358.922
82	5135584.525
83	4928526.357
84	4853441.272
85	4762524.993
86	4688985.911
87	4621121.482
88	4549836.686
89	4485740.483
90	4323005.258
91	4261394.131
92	4203037.229
93	4052870.366
94	3999315.509
95	3870650.728
96	3821760.392
97	3773945.945
98	3726226.777
99	3607489.186
100	3560660.139
101	3439862.217
102	3400750.773
103	3363000.076
104	3325449.056
105	3291079.142
106	3187622.272
107	3156032.17
108	3125226.333
109	3096019.396
110	3068059.023
111	3041184.473
112	2953710.144
113	2913041.668
114	2881623.275
115	2858848.039
116	2788175.804
117	2753054.234
118	2723147.133
119	2704349.53
120	2687040.444
121	2669501.858
122	2652404.392
123	2636076.204
124	2578890.012
125	2565656.544
126	2545541.899
127	2532986.024
128	2521019.84
129	2509617.248
130	2498753.169
131	2488403.506
132	2478545.126
133	2469458.603
134	2460124.473
135	2451527.296
136	2443062.56
137	2435102.587
138	2426648.159
139	2419417.503
140	2412779.932
141	2406543.632
142	2394685.092
143	2388537.884
144	2382951.002
145	2334609.583
146	2286837.722
147	2245656.432
148	2240984.448
149	2235926.318
150	2199761.854
151	2195453.464
152	2191553.097
153	2154910.564
154	2151289.959
155	2147847.365
156	2144574.083
157	2140654.445
158	2112491.932
159	2109609.999
160	2106129.607
161	2080773.234
162	2054593.612
163	2024376.496
164	2022036.352
165	2004284.966
166	1981618.447
167	1977149.152
168	1974972.951
169	1953221.513
170	1917840.367
171	1895696.211
172	1887617.857
173	1869278.646
174	1865330.784
175	1861686.672
176	1850522.538
177	1847802.833
178	1825677.011
179	1802190.874
180	1776942.983
181	1763544.555
182	1756322.804
183	1746357.378
184	1744408.852
185	1721689.388
186	1706505.135
187	1704679.837
188	1695214.904
189	1678304.343
190	1662605.857
191	1647695.045
192	1645532.137
193	1628923.051
194	1614204.391
195	1599526.656
196	1585369.202
197	1567923.807
198	1563855.286
199	1550859.362
